Domain,Citation_Count
gaf.com,37
jm.com,32
usa.sika.com,28
sika.com,17
nrca.net,17
soprema.us,16
fosroc.com,14
gcpat.com,13
iko.com,13
holcimelevate.com,13
bmigroup.com,13
duro-last.com,12
apac.soprema.com,12
siplast.com,10
rpm.rcabc.org,9
scribd.com,9
store.astm.org,9
carlislesyntec.com,9
energy.gov,8
gcc.sika.com,6
qa.siplast.com,5
patents.google.com,5
gbr.sika.com,4
tremcosealants.com,4
nrc-publications.canada.ca,4
standards.iteh.ai,4
iibec.org,4
doczz.net,4
tremcoroofing.com,3
kemper-system.com,3
mbtechnology.com,3
sciencedirect.com,3
transit.dot.gov,3
intertekinform.com,3
th.gcpat.com,3
ind.sika.com,3
ch-cd.carlislesyntec.com,3
www7.eere.energy.gov,3
zaf.sika.com,3
henry.com,2
gaco.com,2
genflex.com,2
roofingcanada.com,2
about.ita-aites.org,2
patents.justia.com,2
professionalroofing.net,2
govtribe.com,2
rooferscoffeeshop.com,2
studylib.net,2
danosa.com,2
arcat.com,2
mys.sika.com,2
roofonline.com,2
commercialroofguide.com,2
roofvista.com,2
econo-roofing.com,2
mmroofsiding.com,2
soprema.ca,2
compositepaint.com,1
freedomchemicalcorp.com,1
tremcous.com,1
deltamembranes.com,1
envirosystems.com.au,1
emseal.com,1
gcpat.uk,1
tamko.com,1
can.sika.com,1
legalclarity.org,1
prosoco.com,1
fefpa.org,1
jstage.jst.go.jp,1
majorprojects.org,1
caee.webhost.utexas.edu,1
pdfcoffee.com,1
polyglass.us,1
highways.dot.gov,1
ikogroup.co.uk,1
lamawp.ca,1
siplast.epd.directory,1
manualzz.com,1
yumpu.com,1
trea.com,1
uspto.report,1
owenscorning.com,1
docplayer.net,1
uat.gaf.com,1
webstore.ansi.org,1
elevatecommercialbp.com,1
reicheldrews.com,1
certainteed.com,1
nozzle-pro.com,1
bituroll.com,1
versico.com,1
industry.nrca.net,1
mulehide.com,1
nzl.sika.com,1
irq.sika.com,1
dev.gaf.com,1
your.trustedpartner.siplast.com,1
mordorintelligence.com,1
californiagreenroofingremodeling.com,1
jrh-construction.com,1
servicetitan.com,1
newenglandmetalroof.com,1
carlisleconstructionmaterials.com,1
staticker.com,1
gskiconstruction.com,1
cesroof.com,1
roofr.com,1
communitylivingtodayblog.com,1
bestlaroofing.com,1
homematchup.com,1
roofingcalculators.org,1
sunnyboyroofing.com,1
randeroofing.com,1
coastalroofingofsouthflorida.com,1
rayproroofing.com,1
roof-ex.com,1
bsesc.energy.gov,1
betterbuildingssolutioncenter.energy.gov,1
gdroofing.com,1
soprema-international.com,1
en.soprema.it,1
idn.sika.com,1
nga.sika.com,1
files.soprema.ca,1
documents.gaf.com,1
