国家/地区,点击次数,展示,点击率,排名
新加坡,6,277,2.17%,48.17
中国,5,68,7.35%,17.31
印度,4,607,0.66%,44.15
美国,3,4421,0.07%,26.81
英国,2,226,0.88%,40.23
阿拉伯联合酋长国,2,152,1.32%,22.62
中国香港,1,239,0.42%,7.53
马来西亚,1,68,1.47%,35.6
沙特阿拉伯,1,56,1.79%,14.36
印度尼西亚,1,44,2.27%,15.43
泰国,1,28,3.57%,22.36
西班牙,1,23,4.35%,40.39
尼日利亚,1,12,8.33%,7
科威特,1,5,20%,3
叙利亚,1,5,20%,4.8
加拿大,0,91,0%,19.84
德国,0,91,0%,31.49
越南,0,87,0%,25.74
菲律宾,0,72,0%,23.79
荷兰,0,50,0%,13.22
澳大利亚,0,36,0%,31.14
墨西哥,0,34,0%,22.03
俄罗斯,0,27,0%,22.41
摩洛哥,0,27,0%,27.3
巴西,0,26,0%,14.73
埃及,0,26,0%,16.23
巴基斯坦,0,25,0%,12.56
法国,0,23,0%,16.26
土耳其,0,23,0%,30.3
黎巴嫩,0,22,0%,5.82
卡塔尔,0,22,0%,7.27
日本,0,22,0%,8.41
尼泊尔,0,21,0%,6.52
南非,0,21,0%,14.76
孟加拉,0,18,0%,27.06
阿根廷,0,17,0%,8.53
比利时,0,17,0%,14.41
新西兰,0,17,0%,26.59
伊拉克,0,13,0%,16.31
乌克兰,0,12,0%,22.58
柬埔寨,0,11,0%,3.18
台湾,0,11,0%,9.27
韩国,0,11,0%,13.18
保加利亚,0,10,0%,6.3
意大利,0,10,0%,6.7
约旦,0,10,0%,15.6
阿尔及利亚,0,10,0%,26.4
加纳,0,9,0%,7.89
罗马尼亚,0,8,0%,5.62
匈牙利,0,8,0%,11.5
肯尼亚,0,8,0%,11.62
爱尔兰,0,8,0%,12.38
埃塞俄比亚,0,7,0%,5.57
阿曼,0,7,0%,9.14
智利,0,7,0%,12.29
葡萄牙,0,7,0%,12.71
斯洛伐克,0,7,0%,16.71
巴林,0,6,0%,4.33
特立尼达和多巴哥,0,6,0%,6.33
波兰,0,5,0%,10.8
巴拿马,0,4,0%,2.5
以色列,0,4,0%,4.25
斯洛文尼亚,0,4,0%,4.25
索马里,0,4,0%,4.75
芬兰,0,4,0%,6
牙买加,0,4,0%,6.5
坦桑尼亚,0,4,0%,6.5
乌拉圭,0,4,0%,6.5
秘鲁,0,4,0%,6.75
斯里兰卡,0,4,0%,7.25
爱沙尼亚,0,4,0%,7.75
也门,0,4,0%,7.75
马尔代夫,0,4,0%,10
缅甸,0,4,0%,10.5
希腊,0,3,0%,2
塞浦路斯,0,3,0%,3.67
波多黎各,0,3,0%,4
阿富汗,0,3,0%,5
文莱,0,3,0%,5
赞比亚,0,3,0%,5
捷克,0,3,0%,5.67
黑山,0,3,0%,7
伊朗,0,3,0%,7.33
委内瑞拉,0,3,0%,13
蒙古,0,3,0%,18.67
瑞典,0,3,0%,23.33
巴哈马,0,2,0%,1
克罗地亚,0,2,0%,1
利比亚,0,2,0%,1
丹麦,0,2,0%,2.5
拉脱维亚,0,2,0%,4
南苏丹,0,2,0%,5.5
瑞士,0,2,0%,6
留尼汪岛,0,2,0%,6
巴布亚新几内亚,0,2,0%,7
卢旺达,0,2,0%,7
乍得,0,2,0%,8
格鲁吉亚,0,2,0%,8.5
科特迪瓦,0,2,0%,10
哈萨克斯坦,0,2,0%,10.5
冈比亚,0,2,0%,12.5
立陶宛,0,2,0%,12.5
厄瓜多尔,0,2,0%,14.5
哥伦比亚,0,2,0%,18.5
波斯尼亚和黑塞哥维那,0,1,0%,1
老挝,0,1,0%,1
挪威,0,1,0%,1
库拉索,0,1,0%,2
塔吉克斯坦,0,1,0%,2
科索沃,0,1,0%,2
喀麦隆,0,1,0%,3
哥斯达黎加,0,1,0%,6
危地马拉,0,1,0%,6
马里,0,1,0%,6
巴拉圭,0,1,0%,6
巴勒斯坦,0,1,0%,6
塞内加尔,0,1,0%,6
阿尔巴尼亚,0,1,0%,7
玻利维亚,0,1,0%,7
多哥,0,1,0%,7
乌干达,0,1,0%,7
冰岛,0,1,0%,8
苏丹,0,1,0%,8
加勒比荷兰,0,1,0%,10
马耳他,0,1,0%,10
法罗群岛,0,1,0%,11
洪都拉斯,0,1,0%,21
奥地利,0,1,0%,24
