日期,点击次数,展示,点击率,排名
2026-06-23,0,99,0%,67.2
2026-06-24,0,21,0%,65.9
2026-06-25,0,20,0%,72.7
2026-06-26,1,29,3.45%,53.6
2026-06-27,0,18,0%,61.6
2026-06-28,1,26,3.85%,63.6
2026-06-29,0,34,0%,30.5
2026-06-30,0,23,0%,63.3
2026-07-01,0,22,0%,73.8
2026-07-02,0,24,0%,60.4
2026-07-03,1,26,3.85%,40.4
2026-07-04,0,36,0%,58.6
2026-07-05,0,52,0%,51.7
2026-07-06,0,33,0%,42.4
2026-07-07,0,39,0%,48.5
2026-07-08,2,52,3.85%,51.3
2026-07-09,0,81,0%,57.9
2026-07-10,0,76,0%,40.3
2026-07-11,0,50,0%,57.6
2026-07-12,0,59,0%,46.6
2026-07-13,0,57,0%,46.6
2026-07-14,1,105,0.95%,36.6
2026-07-15,0,138,0%,65
2026-07-16,3,69,4.35%,34.3
2026-07-17,1,88,1.14%,37.7
2026-07-18,0,75,0%,47.2
2026-07-19,0,61,0%,36.3
2026-07-20,1,434,0.23%,56.7
2026-07-21,0,190,0%,36.9
2026-07-22,0,88,0%,31.1
2026-07-23,0,63,0%,42.5
2026-07-24,0,67,0%,30
2026-07-25,0,43,0%,32.2
2026-07-26,0,51,0%,33.5
2026-07-27,0,127,0%,27.9
2026-07-28,0,87,0%,44.7
2026-07-29,0,116,0%,35.5
2026-07-30,0,115,0%,23.4
2026-07-31,0,96,0%,28.8
2026-08-01,1,91,1.1%,24.5
2026-08-02,1,81,1.23%,44.5
2026-08-03,1,304,0.33%,14.7
2026-08-04,0,153,0%,17.2
2026-08-05,1,282,0.35%,20.1
2026-08-06,3,323,0.93%,17.2
2026-08-07,0,281,0%,9.6
2026-08-08,1,244,0.41%,13
2026-08-09,1,187,0.53%,13.9
2026-08-10,1,622,0.16%,11.8
2026-08-11,3,313,0.96%,13.4
2026-08-12,1,334,0.3%,15.8
2026-08-13,3,567,0.53%,14.3
2026-08-14,0,400,0%,13.7
2026-08-15,0,142,0%,24.8
2026-08-16,3,182,1.65%,15.9
